scale,layer,input_shape_without_batch,output_shape_without_batch,parameters,notes
8,adapter,2x256x98x98,2x64x98x98,16384,shared_A_B
8,decoder_stem,166x98x98,64x98x98,10752,GN8_GELU
8,downblock_1,64x98x98,64x49x49,78080,residual_stride2
8,downblock_2,64x49x49,64x25x25,78080,residual_stride2
8,downblock_3,64x25x25,64x13x13,78080,residual_stride2
8,pool,64x13x13,64x4x4,0,adaptive_average
8,fc1,1024,256,262400,GELU
8,fc2,256,8,2056,zero_init_then_bounded_tanh
4,adapter,2x256x196x196,2x64x196x196,16384,shared_A_B
4,decoder_stem,166x196x196,64x196x196,10752,GN8_GELU
4,downblock_1,64x196x196,64x98x98,78080,residual_stride2
4,downblock_2,64x98x98,64x49x49,78080,residual_stride2
4,downblock_3,64x49x49,64x25x25,78080,residual_stride2
4,downblock_4,64x25x25,64x13x13,78080,residual_stride2
4,pool,64x13x13,64x4x4,0,adaptive_average
4,fc1,1024,256,262400,GELU
4,fc2,256,8,2056,zero_init_then_bounded_tanh
2,adapter,2x256x392x392,2x32x392x392,8192,shared_A_B
2,decoder_stem,102x392x392,64x392x392,6656,GN8_GELU
2,downblock_1,64x392x392,64x196x196,78080,residual_stride2
2,downblock_2,64x196x196,64x98x98,78080,residual_stride2
2,downblock_3,64x98x98,64x49x49,78080,residual_stride2
2,downblock_4,64x49x49,64x25x25,78080,residual_stride2
2,downblock_5,64x25x25,64x13x13,78080,residual_stride2
2,pool,64x13x13,64x4x4,0,adaptive_average
2,fc1,1024,256,262400,GELU
2,fc2,256,8,2056,zero_init_then_bounded_tanh
1,adapter,2x256x784x784,2x32x784x784,8192,shared_A_B
1,decoder_stem,54x784x784,64x784x784,3584,GN8_GELU
1,downblock_1,64x784x784,64x392x392,78080,residual_stride2
1,downblock_2,64x392x392,64x196x196,78080,residual_stride2
1,downblock_3,64x196x196,64x98x98,78080,residual_stride2
1,downblock_4,64x98x98,64x49x49,78080,residual_stride2
1,downblock_5,64x49x49,64x25x25,78080,residual_stride2
1,downblock_6,64x25x25,64x13x13,78080,residual_stride2
1,pool,64x13x13,64x4x4,0,adaptive_average
1,fc1,1024,256,262400,GELU
1,fc2,256,8,2056,zero_init_then_bounded_tanh
