scalar_error_px,L1_value,SmoothL1_beta1_value,bounded_fgo_value,L1_positive_side_gain,SmoothL1_gain,bounded_fgo_gain,original_independent_fgo_gain
0.0,0.0,0.0,0.0,1.0,0.0,4.999999999999999,100.99999999999999
0.01,0.01,5e-05,0.046363636363636336,1.0,0.01,4.305785123966942,83.64462809917356
0.05,0.05,0.0012500000000000002,0.18333333333333335,1.0,0.05,2.7777777777777772,45.444444444444436
0.1,0.1,0.005000000000000001,0.30000000000000004,1.0,0.1,1.9999999999999998,25.999999999999996
0.5,0.5,0.125,0.8333333333333334,1.0,0.5,1.1111111111111112,3.7777777777777777
0.99,0.99,0.49005,1.3533027522935779,1.0,0.99,1.0336671997306623,1.84167999326656
1.0,1.0,0.5,1.3636363636363638,1.0,1.0,1.0,1.0
1.01,1.01,0.51,1.3736363636363638,1.0,1.0,1.0,1.0
2.0,2.0,1.5,2.3636363636363638,1.0,1.0,1.0,1.0
5.0,5.0,4.5,5.363636363636363,1.0,1.0,1.0,1.0
