path,logical_bytes,allocated_bytes,files,step,total_steps,status,action
outputs/E00_h0_seed0,1832150,442880,4,,,无统一运行状态,保留结果/证据
outputs/E01_heads,18451782258,18317212160,242,10000,,completed,历史正式训练；逐个审查中间权重
outputs/E01_heads_bs_2,34532,18944,2,29,,running,保留结果/证据
outputs/E01_heads_seed0,97189,31232,2,104,,running,保留结果/证据
outputs/E01_heads_test_step10000,13622289,11393024,12,,,无统一运行状态,保留结果/证据
outputs/GHIM_joint_frozen_dino_mvt_temporal4_ebs4_20k_seed0,22128359871,21913851904,242,20000,,completed,历史正式训练；逐个审查中间权重
outputs/GHIM_joint_frozen_dino_mvt_temporal4_ebs4_20k_seed0_test_step20000,13572241,11338752,12,,,无统一运行状态,保留结果/证据
outputs/GHIM_joint_frozen_dino_mvt_temporal4_ebs8_seed0,22116517571,21910220288,246,10000,,completed,历史正式训练；逐个审查中间权重
outputs/GHIM_joint_frozen_dino_mvt_temporal4_ebs8_seed0_test_step10000,13595408,11357696,12,,,无统一运行状态,保留结果/证据
outputs/GHIM_joint_frozen_dino_mvt_temporal4_seed0,28182,24576,2,13,,running,保留结果/证据
outputs/GHIM_joint_frozen_dino_temporal4_ebs4_20k_seed0,36118151737,35898591744,242,20000,,completed,历史正式训练；逐个审查中间权重
outputs/GHIM_joint_frozen_dino_temporal4_ebs4_20k_seed0_test_step17000,17324143,15162368,24,,,无统一运行状态,保留结果/证据
outputs/diagnostics,2673629326,2678217728,728,,,无统一运行状态,保留结果/证据
outputs/e01_gate_refusal_smoke,0,0,0,,,无统一运行状态,保留结果/证据
outputs/engineering_batch_visualization_smoke,10264,7168,2,,,running,保留结果/证据
outputs/engineering_batch_visualization_smoke_bs1,12348134,12494336,22,2,,completed,保留结果/证据
outputs/engineering_visualization_seven_smoke,7213630,7292928,13,2,,completed,保留结果/证据
outputs/mhinet_minimal_smoke,27190,38912,5,2,,completed,保留结果/证据
outputs/mhinet_resume_smoke,28482,38912,5,2,,completed,保留结果/证据
outputs/mhinet_resume_smoke_mcnet_d2_v2,44680,38912,5,2,,completed,保留结果/证据
outputs/mhinet_uninterrupted_smoke_mcnet_d2_v2,43318,38912,5,2,,completed,保留结果/证据
outputs/previews,4846875,4988416,12,,,无统一运行状态,保留结果/证据
outputs/real_image_accuracy_val16,7244607,7304192,12,,,无统一运行状态,保留结果/证据
outputs/real_image_accuracy_val16_verified,7244812,7304192,12,,,无统一运行状态,保留结果/证据
outputs/semidense_qrru_engineering_v1,1048352999,1047915520,10,2,2,日志达到配置步数,仅权重列为可清理候选；保留日志和报告
outputs/semidense_qrru_replay_v2,2088245647,2087298560,15,,,无统一运行状态,仅权重列为可清理候选；保留日志和报告
outputs/semidense_qrru_resume_v1,1044117256,1043639296,6,2,2,日志达到配置步数,仅权重列为可清理候选；保留日志和报告
outputs/semidense_stable_v2_tier1_lr_a_seed0,3889309555,3915000832,6642,12995,12995,日志达到配置步数,保留主线/对照/初始化链
outputs/semidense_stable_v2_tier1_lr_b_seed0,3910810728,3936341504,6642,12995,12995,日志达到配置步数,保留主线/对照/初始化链
outputs/semidense_stable_v2_tier1_lr_c_seed0,2219983580,2231054848,2880,5940,12995,训练中，进程已核对,保留主线/对照/初始化链
outputs/semidense_stable_v2_tier2_lr_a_seed0,1399484052,1402335744,529,325,8663,训练中，进程已核对,保留主线/对照/初始化链
outputs/semidense_visual_smoke_v1,1108527051,1080846336,89,1,1,日志达到配置步数,仅权重列为可清理候选；保留日志和报告
outputs/semidense_visual_smoke_v2,1109115975,1081465344,93,1,1,日志达到配置步数,仅权重列为可清理候选；保留日志和报告
outputs/shared_descriptor_frozen_seed0,2407372057,2345573376,60,12995,12995,日志达到配置步数,保留主线/对照/初始化链
outputs/shared_descriptor_frozen_tier2_seed0,2320162057,2285934592,41,8663,8663,日志达到配置步数,保留主线/对照/初始化链
outputs/shared_descriptor_frozen_tier3_seed0,2319461808,2286139904,39,8663,8663,日志达到配置步数,保留主线/对照/初始化链
outputs/shared_descriptor_lora_seed0,2409183991,2349665280,56,12995,12995,日志达到配置步数,保留主线/对照/初始化链
outputs/shared_stable_v2_full_tier1_seed0,2412971612,2351104512,58,12995,12995,日志达到配置步数,保留主线/对照/初始化链
outputs/shared_stable_v2_full_tier2_seed0,2320322285,2286986240,39,8663,8663,日志达到配置步数,保留主线/对照/初始化链
outputs/shared_stable_v2_full_tier3_seed0,2324313922,2290960896,39,8663,8663,日志达到配置步数,保留主线/对照/初始化链
outputs/shared_stable_v2_tier1_adapt_seed0,2265975920,2249273856,22,2000,12995,按登记2000步完成短程实验；非全轮失败,保留主线/对照/初始化链
outputs/shared_tier2_backtest_tier1,55790445,43823104,19,,,无统一运行状态,保留主线/对照/初始化链
outputs/shared_tier3_stable_v2_baseline_tier1,56830212,44854272,19,,,无统一运行状态,保留主线/对照/初始化链
outputs/shared_tier3_stable_v2_baseline_tier2,45500588,37612032,19,,,无统一运行状态,保留主线/对照/初始化链
outputs/shared_tier3_stable_v2_baseline_tier3,47465415,39557120,19,,,无统一运行状态,保留主线/对照/初始化链
outputs/stable_geometry_smoke_v2,86908503,88276480,257,,,无统一运行状态,保留结果/证据
outputs/tier1_a_seed0,621777,191488,2,434,,running,保留结果/证据
outputs/tier1_b_seed0,621777,191488,2,434,,running,保留结果/证据
outputs/tiny_overfit,548468511,496257536,98,,,无统一运行状态,保留结果/证据
